2026-02-04 17:57:41,580 | WARNING | signals_combiner | Error calling SAREXT: SAREXT() got an unexpected keyword argument 'startValue'
2026-02-04 17:57:41,592 | WARNING | signals_combiner | No signal function found for MACDFIX
2026-02-04 17:57:41,599 | WARNING | signals_combiner | No signal function found for ULTOSC
2026-02-04 17:57:41,603 | WARNING | signals_combiner | Error calling AVGPRICE: avgprice_signal() missing 1 required positional argument: 'close'
2026-02-04 17:57:41,633 | WARNING | signals_combiner | No signal function found for CORREL
2026-02-04 17:57:41,643 | WARNING | signals_combiner | No signal function found for ADD
2026-02-04 17:57:41,644 | WARNING | signals_combiner | No signal function found for MAX
2026-02-04 17:57:41,645 | WARNING | signals_combiner | No signal function found for MAXINDEX
2026-02-04 17:57:41,645 | WARNING | signals_combiner | No signal function found for MIN
2026-02-04 17:57:41,646 | WARNING | signals_combiner | No signal function found for MULT
2026-02-04 17:57:41,646 | WARNING | signals_combiner | No signal function found for SUB
2026-02-04 17:57:57,955 | WARNING | signals_combiner | Error calling SAREXT: SAREXT() got an unexpected keyword argument 'startValue'
2026-02-04 17:57:57,960 | WARNING | signals_combiner | Error calling BOP: bop_signal() missing 2 required positional arguments: 'low' and 'close_'
2026-02-04 17:57:57,969 | WARNING | signals_combiner | No signal function found for ULTOSC
2026-02-04 17:57:58,002 | WARNING | signals_combiner | No signal function found for ADD
2026-02-04 17:57:58,003 | WARNING | signals_combiner | No signal function found for MININDEX
2026-02-04 17:57:58,003 | WARNING | signals_combiner | No signal function found for SUM
2026-02-04 17:58:13,690 | WARNING | signals_combiner | Error calling SAREXT: SAREXT() got an unexpected keyword argument 'startValue'
2026-02-04 17:58:13,696 | WARNING | signals_combiner | No signal function found for MACDFIX
2026-02-04 17:58:13,699 | WARNING | signals_combiner | No signal function found for ULTOSC
2026-02-04 17:58:13,701 | WARNING | signals_combiner | Error calling AVGPRICE: avgprice_signal() missing 1 required positional argument: 'close'
2026-02-04 17:58:13,727 | WARNING | signals_combiner | No signal function found for BETA
2026-02-04 17:58:13,727 | WARNING | signals_combiner | No signal function found for CORREL
2026-02-04 17:58:13,734 | WARNING | signals_combiner | No signal function found for MAX
2026-02-04 17:58:13,735 | WARNING | signals_combiner | No signal function found for MININDEX
2026-02-04 17:58:13,735 | WARNING | signals_combiner | No signal function found for SUB
2026-02-04 17:58:24,940 | WARNING | signals_combiner | Error calling AVGPRICE: avgprice_signal() missing 1 required positional argument: 'close'
2026-02-04 17:58:24,980 | WARNING | signals_combiner | No signal function found for ADD
2026-02-04 17:58:24,980 | WARNING | signals_combiner | No signal function found for MAXINDEX
2026-02-04 17:58:24,980 | WARNING | signals_combiner | No signal function found for MIN
2026-02-04 17:58:24,980 | WARNING | signals_combiner | No signal function found for MININDEX
2026-02-04 17:58:24,981 | WARNING | signals_combiner | No signal function found for SUB
2026-02-04 17:58:24,981 | WARNING | signals_combiner | No signal function found for SUM
2026-02-04 17:58:38,700 | WARNING | signals_combiner | No signal function found for MACDFIX
2026-02-04 17:58:38,744 | WARNING | signals_combiner | No signal function found for DIV
2026-02-04 17:58:38,745 | WARNING | signals_combiner | No signal function found for MAX
2026-02-04 17:58:38,745 | WARNING | signals_combiner | No signal function found for MININDEX
2026-02-04 17:58:38,746 | WARNING | signals_combiner | No signal function found for SUM
2026-02-04 17:58:52,317 | WARNING | signals_combiner | Error calling BOP: bop_signal() missing 2 required positional arguments: 'low' and 'close_'
2026-02-04 17:58:52,319 | WARNING | signals_combiner | No signal function found for MACDFIX
2026-02-04 17:58:52,321 | WARNING | signals_combiner | No signal function found for PLUS_DM
2026-02-04 17:58:52,326 | WARNING | signals_combiner | Error calling AVGPRICE: avgprice_signal() missing 1 required positional argument: 'close'
2026-02-04 17:58:52,345 | WARNING | signals_combiner | No signal function found for BETA
2026-02-04 17:58:52,353 | WARNING | signals_combiner | No signal function found for ADD
2026-02-04 17:58:52,354 | WARNING | signals_combiner | No signal function found for MIN
2026-02-04 17:58:52,354 | WARNING | signals_combiner | No signal function found for MAXINDEX
2026-02-04 17:58:52,354 | WARNING | signals_combiner | No signal function found for MULT
2026-02-04 17:59:06,399 | WARNING | signals_combiner | Error calling SAREXT: SAREXT() got an unexpected keyword argument 'startValue'
2026-02-04 17:59:06,404 | WARNING | signals_combiner | No signal function found for MACDFIX
2026-02-04 17:59:06,404 | WARNING | signals_combiner | No signal function found for PLUS_DM
2026-02-04 17:59:06,406 | WARNING | signals_combiner | No signal function found for ULTOSC
