2026-01-20 09:48:50,903 | INFO | bybit_main | Bybit data ingestion pipeline completed successfully.
2026-01-20 10:51:23,190 | INFO | bybit_main | Processing symbol: btc
2026-01-20 10:51:23,692 | INFO | bybit_main | No existing data found for btc. Using start_date=2026-01-06
2026-01-20 10:51:46,046 | INFO | bybit_main | RAW data fetched for btc: 20807 rows
2026-01-20 10:51:46,174 | INFO | bybit_main | OHLCV cleaning completed.
2026-01-20 10:59:17,149 | INFO | bybit_main | Processing symbol: btc
2026-01-20 10:59:17,297 | INFO | bybit_main | No existing data found for btc. Using start_date=2026-01-06
2026-01-20 10:59:40,865 | INFO | bybit_main | RAW data fetched for btc: 20815 rows
2026-01-20 10:59:40,941 | INFO | bybit_main | OHLCV cleaning completed.
2026-01-20 10:59:53,376 | INFO | bybit_main | Saved cleaned data to table: data_bybit.btc_1m
2026-01-20 10:59:53,376 | INFO | bybit_main | Processing symbol: eth
2026-01-20 10:59:53,445 | INFO | bybit_main | No existing data found for eth. Using start_date=2026-01-06
2026-01-20 11:00:12,290 | INFO | bybit_main | RAW data fetched for eth: 20815 rows
2026-01-20 11:00:12,353 | INFO | bybit_main | OHLCV cleaning completed.
2026-01-20 11:00:26,821 | INFO | bybit_main | Saved cleaned data to table: data_bybit.eth_1m
2026-01-20 11:00:26,821 | INFO | bybit_main | Processing symbol: bnb
2026-01-20 11:00:26,858 | INFO | bybit_main | No existing data found for bnb. Using start_date=2026-01-06
2026-01-20 11:00:48,180 | INFO | bybit_main | RAW data fetched for bnb: 20816 rows
2026-01-20 11:00:48,247 | INFO | bybit_main | OHLCV cleaning completed.
2026-01-20 11:00:58,754 | INFO | bybit_main | Saved cleaned data to table: data_bybit.bnb_1m
2026-01-20 11:00:58,754 | INFO | bybit_main | Processing symbol: ada
2026-01-20 11:00:58,798 | INFO | bybit_main | No existing data found for ada. Using start_date=2026-01-06
2026-01-20 11:01:20,552 | INFO | bybit_main | RAW data fetched for ada: 20816 rows
2026-01-20 11:01:20,615 | INFO | bybit_main | OHLCV cleaning completed.
2026-01-20 11:01:31,626 | INFO | bybit_main | Saved cleaned data to table: data_bybit.ada_1m
2026-01-20 11:01:31,626 | INFO | bybit_main | Processing symbol: xrp
2026-01-20 11:01:31,660 | INFO | bybit_main | No existing data found for xrp. Using start_date=2026-01-06
2026-01-20 11:01:52,795 | INFO | bybit_main | RAW data fetched for xrp: 20817 rows
2026-01-20 11:01:52,861 | INFO | bybit_main | OHLCV cleaning completed.
2026-01-20 11:02:04,805 | INFO | bybit_main | Saved cleaned data to table: data_bybit.xrp_1m
2026-01-20 11:02:04,805 | INFO | bybit_main | Processing symbol: doge
2026-01-20 11:02:04,851 | INFO | bybit_main | No existing data found for doge. Using start_date=2026-01-06
2026-01-20 11:02:25,661 | INFO | bybit_main | RAW data fetched for doge: 20817 rows
