2026-02-05 10:00:32,568 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 10:01:00,758 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 10:01:25,961 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 10:01:49,564 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 10:02:15,390 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 10:02:42,387 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 10:03:16,730 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 10:03:47,713 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 10:05:12,351 | INFO | backtest_class | Found 210473 valid intervals out of 210883 predictions
2026-02-05 10:06:27,406 | INFO | backtest_class | Found 210473 valid intervals out of 210883 predictions
2026-02-05 10:07:29,466 | INFO | backtest_class | Found 210473 valid intervals out of 210883 predictions
2026-02-05 10:08:31,502 | INFO | backtest_class | Found 210473 valid intervals out of 210883 predictions
2026-02-05 10:09:39,917 | INFO | backtest_class | Found 210473 valid intervals out of 210883 predictions
2026-02-05 10:10:48,385 | INFO | backtest_class | Found 210473 valid intervals out of 210883 predictions
2026-02-05 10:11:59,469 | INFO | backtest_class | Found 210473 valid intervals out of 210883 predictions
2026-02-05 10:13:03,414 | INFO | backtest_class | Found 210473 valid intervals out of 210883 predictions
2026-02-05 10:14:07,507 | INFO | backtest_class | Found 210473 valid intervals out of 210883 predictions
2026-02-05 10:38:29,115 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 10:50:49,675 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 10:51:46,817 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 10:54:05,774 | INFO | backtest_class | Found 210473 valid intervals out of 210883 predictions
2026-02-05 11:02:25,109 | INFO | backtest_class | Found 17540 valid intervals out of 17572 predictions
2026-02-05 11:03:10,490 | INFO | backtest_class | Found 70158 valid intervals out of 70293 predictions
2026-02-05 11:05:51,061 | INFO | backtest_class | Found 210473 valid intervals out of 210882 predictions
2026-02-05 11:09:14,552 | INFO | backtest_class | Found 17540 valid intervals out of 17572 predictions
2026-02-05 11:10:10,437 | INFO | backtest_class | Found 70158 valid intervals out of 70293 predictions
2026-02-05 11:12:42,480 | INFO | backtest_class | Found 210473 valid intervals out of 210882 predictions
2026-02-05 11:23:06,046 | INFO | backtest_class | Found 17540 valid intervals out of 17572 predictions
2026-02-05 11:28:10,681 | INFO | backtest_class | Found 17540 valid intervals out of 17572 predictions
2026-02-05 11:29:14,467 | INFO | backtest_class | Found 70158 valid intervals out of 70293 predictions
2026-02-05 11:32:57,497 | INFO | backtest_class | Found 17540 valid intervals out of 17572 predictions
2026-02-05 11:33:52,058 | INFO | backtest_class | Found 70158 valid intervals out of 70293 predictions
2026-02-05 11:43:12,871 | INFO | backtest_class | Found 17540 valid intervals out of 17572 predictions
2026-02-05 11:44:12,020 | INFO | backtest_class | Found 70158 valid intervals out of 70293 predictions
2026-02-05 11:46:53,001 | INFO | backtest_class | Found 210473 valid intervals out of 210882 predictions
2026-02-05 14:32:27,904 | INFO | backtest_class | Found 17540 valid intervals out of 17572 predictions
2026-02-05 14:48:52,245 | INFO | backtest_class | Found 17540 valid intervals out of 17572 predictions
2026-02-05 14:50:38,326 | INFO | backtest_class | Found 17540 valid intervals out of 17572 predictions
2026-02-05 14:56:21,981 | INFO | backtest_class | Found 17540 valid intervals out of 17572 predictions
2026-02-05 14:57:32,502 | INFO | backtest_class | Found 17540 valid intervals out of 17572 predictions
