2026-02-11 09:59:49,514 | INFO | execution_binance_main |     aroon_period: 14
2026-02-11 09:59:49,514 | INFO | execution_binance_main |     macdext_fastperiod: 12
2026-02-11 09:59:49,514 | INFO | execution_binance_main |     macdext_slowperiod: 26
2026-02-11 09:59:49,514 | INFO | execution_binance_main |     macdext_signalperiod: 9
2026-02-11 09:59:49,515 | INFO | execution_binance_main |     mfi_period: 14
2026-02-11 09:59:49,515 | INFO | execution_binance_main |     mom_period: 10
2026-02-11 09:59:49,515 | INFO | execution_binance_main |     rocr_period: 10
2026-02-11 09:59:49,516 | INFO | execution_binance_main |     rsi_period: 14
2026-02-11 09:59:49,516 | INFO | execution_binance_main |     atr_period: 14
2026-02-11 09:59:49,516 | INFO | execution_binance_main |     natr_period: 14
2026-02-11 09:59:49,517 | INFO | execution_binance_main |     linearreg_period: 14
2026-02-11 09:59:49,517 | INFO | execution_binance_main |     linearreg_angle_period: 14
2026-02-11 09:59:49,518 | INFO | execution_binance_main | Strategy sig_1h_btc_2 → Highest window value among specified patterns: 30
2026-02-11 09:59:49,524 | INFO | execution_binance_main | Strategy sig_1h_btc_3 → ALL columns:
2026-02-11 09:59:49,524 | INFO | execution_binance_main |     strategy: sig_1h_btc_3
2026-02-11 09:59:49,526 | INFO | execution_binance_main |     tp: 3
2026-02-11 09:59:49,526 | INFO | execution_binance_main |     sl: 1
2026-02-11 09:59:49,526 | INFO | execution_binance_main |     symbol: btc
2026-02-11 09:59:49,527 | INFO | execution_binance_main |     timehorizon: 1h
2026-02-11 09:59:49,527 | INFO | execution_binance_main |     pnl_sum: 2793.51
2026-02-11 09:59:49,527 | INFO | execution_binance_main |     bbands: True
2026-02-11 09:59:49,528 | INFO | execution_binance_main |     ema: True
2026-02-11 09:59:49,528 | INFO | execution_binance_main |     kama: True
2026-02-11 09:59:49,528 | INFO | execution_binance_main |     ma: True
2026-02-11 09:59:49,528 | INFO | execution_binance_main |     mama: True
2026-02-11 09:59:49,528 | INFO | execution_binance_main |     midpoint: True
2026-02-11 09:59:49,530 | INFO | execution_binance_main |     midprice: True
2026-02-11 09:59:49,530 | INFO | execution_binance_main |     sarext: True
2026-02-11 09:59:49,530 | INFO | execution_binance_main |     t3: True
2026-02-11 09:59:49,531 | INFO | execution_binance_main |     trima: True
2026-02-11 09:59:49,531 | INFO | execution_binance_main |     wma: True
2026-02-11 09:59:49,532 | INFO | execution_binance_main |     adxr: True
2026-02-11 09:59:49,532 | INFO | execution_binance_main |     cmo: True
2026-02-11 09:59:49,532 | INFO | execution_binance_main |     macd: True
2026-02-11 09:59:49,533 | INFO | execution_binance_main |     minus_di: True
2026-02-11 09:59:49,533 | INFO | execution_binance_main |     minus_dm: True
2026-02-11 09:59:49,534 | INFO | execution_binance_main |     mom: True
2026-02-11 09:59:49,534 | INFO | execution_binance_main |     plus_di: True
2026-02-11 09:59:49,535 | INFO | execution_binance_main |     roc: True
2026-02-11 09:59:49,536 | INFO | execution_binance_main |     rocp: True
2026-02-11 09:59:49,536 | INFO | execution_binance_main |     stoch: True
2026-02-11 09:59:49,538 | INFO | execution_binance_main |     stochf: True
2026-02-11 09:59:49,538 | INFO | execution_binance_main |     stochrsi: True
2026-02-11 09:59:49,538 | INFO | execution_binance_main |     trix: True
2026-02-11 09:59:49,539 | INFO | execution_binance_main |     willr: True
2026-02-11 09:59:49,541 | INFO | execution_binance_main |     obv: True
2026-02-11 09:59:49,541 | INFO | execution_binance_main |     atr: True
2026-02-11 09:59:49,541 | INFO | execution_binance_main |     natr: True
2026-02-11 09:59:49,542 | INFO | execution_binance_main |     medprice: True
2026-02-11 09:59:49,542 | INFO | execution_binance_main |     ht_sine: True
2026-02-11 09:59:49,542 | INFO | execution_binance_main |     linearreg_angle: True
2026-02-11 09:59:49,544 | INFO | execution_binance_main |     var: True
2026-02-11 09:59:49,544 | INFO | execution_binance_main |     cdl3blackcrows: True
2026-02-11 09:59:49,544 | INFO | execution_binance_main |     cdl3inside: True
2026-02-11 09:59:49,544 | INFO | execution_binance_main |     cdl3outside: True
2026-02-11 09:59:49,547 | INFO | execution_binance_main |     cdl3whitesoldiers: True
2026-02-11 09:59:49,547 | INFO | execution_binance_main |     cdlabandonedbaby: True
2026-02-11 09:59:49,547 | INFO | execution_binance_main |     cdlconcealbabyswall: True
2026-02-11 09:59:49,547 | INFO | execution_binance_main |     cdldojistar: True
2026-02-11 09:59:49,549 | INFO | execution_binance_main |     cdldragonflydoji: True
2026-02-11 09:59:49,549 | INFO | execution_binance_main |     cdleveningstar: True
2026-02-11 09:59:49,550 | INFO | execution_binance_main |     cdlgapsidesidewhite: True
2026-02-11 09:59:49,550 | INFO | execution_binance_main |     cdlgravestonedoji: True
2026-02-11 09:59:49,551 | INFO | execution_binance_main |     cdlhammer: True
2026-02-11 09:59:49,553 | INFO | execution_binance_main |     cdlhangingman: True
2026-02-11 09:59:49,554 | INFO | execution_binance_main |     cdlharamicross: True
2026-02-11 09:59:49,555 | INFO | execution_binance_main |     cdlhighwave: True
2026-02-11 09:59:49,556 | INFO | execution_binance_main |     cdlinneck: True
2026-02-11 09:59:49,556 | INFO | execution_binance_main |     cdlladderbottom: True
2026-02-11 09:59:49,557 | INFO | execution_binance_main |     cdlmarubozu: True
2026-02-11 09:59:49,558 | INFO | execution_binance_main |     cdlmathold: True
2026-02-11 09:59:49,558 | INFO | execution_binance_main |     cdlmorningstar: True
2026-02-11 09:59:49,559 | INFO | execution_binance_main |     cdlpiercing: True
2026-02-11 09:59:49,560 | INFO | execution_binance_main |     cdlrickshawman: True
2026-02-11 09:59:49,560 | INFO | execution_binance_main |     cdlseparatinglines: True
2026-02-11 09:59:49,562 | INFO | execution_binance_main |     cdlspinningtop: True
2026-02-11 09:59:49,563 | INFO | execution_binance_main |     cdlsticksandwich: True
2026-02-11 09:59:49,563 | INFO | execution_binance_main |     cdltakuri: True
2026-02-11 09:59:49,564 | INFO | execution_binance_main |     cdltasukigap: True
2026-02-11 09:59:49,564 | INFO | execution_binance_main |     cdltristar: True
2026-02-11 09:59:49,566 | INFO | execution_binance_main |     cdlunique3river: True
2026-02-11 09:59:49,566 | INFO | execution_binance_main |     cdlupsidegap2crows: True
2026-02-11 09:59:49,567 | INFO | execution_binance_main |     cdlxsidegap3methods: True
2026-02-11 09:59:49,568 | INFO | execution_binance_main |     ema_period: 30
2026-02-11 09:59:49,569 | INFO | execution_binance_main |     midpoint_period: 14
2026-02-11 09:59:49,571 | INFO | execution_binance_main |     midprice_period: 14
2026-02-11 09:59:49,572 | INFO | execution_binance_main |     trima_period: 30
