2026-03-30 16:00:26,861 | INFO | base_dl_model | [GRUModel] Epoch 1/30 train_loss=0.592094  val_loss=0.614360
2026-03-30 16:03:44,178 | INFO | base_dl_model | [GRUModel] Early stop at epoch 8. Best val_loss=0.600631
2026-03-30 16:03:44,178 | INFO | base_dl_model | [GRUModel] Training finished in 225.9s
2026-03-30 16:03:45,918 | INFO | base_dl_model | [GRUModel] predict() → min=0.0004  max=0.0005  mean=0.0004
2026-03-30 16:03:52,882 | INFO | base_dl_model | [GRUModel] Using device: cpu
2026-03-30 16:03:53,035 | INFO | base_dl_model | [GRUModel] Network params: 480,423
2026-03-30 16:05:19,604 | INFO | base_dl_model | [GRUModel] Epoch 1/30 train_loss=0.587783  val_loss=0.653224
2026-03-30 16:13:21,693 | INFO | base_dl_model | [GRUModel] Early stop at epoch 8. Best val_loss=0.641022
2026-03-30 16:13:21,693 | INFO | base_dl_model | [GRUModel] Training finished in 568.6s
2026-03-30 16:13:25,390 | INFO | base_dl_model | [GRUModel] predict() → min=0.0014  max=0.0017  mean=0.0015
2026-03-30 16:13:31,583 | INFO | base_dl_model | [GRUModel] Using device: cpu
2026-03-30 16:13:31,772 | INFO | base_dl_model | [GRUModel] Network params: 87,003
2026-03-30 16:13:52,697 | INFO | base_dl_model | [GRUModel] Epoch 1/30 train_loss=0.789139  val_loss=0.612030
2026-03-30 16:17:03,019 | INFO | base_dl_model | [GRUModel] Epoch 10/30 train_loss=0.570282  val_loss=0.592788
2026-03-30 16:18:06,563 | INFO | base_dl_model | [GRUModel] Early stop at epoch 13. Best val_loss=0.592487
2026-03-30 16:18:06,563 | INFO | base_dl_model | [GRUModel] Training finished in 274.8s
2026-03-30 16:18:07,898 | INFO | base_dl_model | [GRUModel] predict() → min=0.0010  max=0.0010  mean=0.0010
2026-03-30 16:18:14,315 | INFO | base_dl_model | [GRUModel] Using device: cpu
2026-03-30 16:18:14,383 | INFO | base_dl_model | [GRUModel] Network params: 915,351
2026-03-30 16:18:39,030 | INFO | base_dl_model | [GRUModel] Epoch 1/30 train_loss=0.644052  val_loss=0.617321
2026-03-30 16:21:05,112 | INFO | base_dl_model | [GRUModel] Early stop at epoch 7. Best val_loss=0.616089
2026-03-30 16:21:05,112 | INFO | base_dl_model | [GRUModel] Training finished in 170.7s
2026-03-30 16:21:06,648 | INFO | base_dl_model | [GRUModel] predict() → min=0.0003  max=0.0007  mean=0.0005
2026-03-30 16:21:13,229 | INFO | base_dl_model | [GRUModel] Using device: cpu
2026-03-30 16:21:13,303 | INFO | base_dl_model | [GRUModel] Network params: 286,347
2026-03-30 16:21:27,169 | INFO | base_dl_model | [GRUModel] Epoch 1/30 train_loss=0.597660  val_loss=0.617943
2026-03-30 16:22:37,444 | INFO | base_dl_model | [GRUModel] Early stop at epoch 6. Best val_loss=0.617943
2026-03-30 16:22:37,444 | INFO | base_dl_model | [GRUModel] Training finished in 84.1s
2026-03-30 16:22:38,339 | INFO | base_dl_model | [GRUModel] predict() → min=0.0006  max=0.0011  mean=0.0008
2026-03-30 16:22:44,928 | INFO | base_dl_model | [GRUModel] Using device: cpu
2026-03-30 16:22:45,017 | INFO | base_dl_model | [GRUModel] Network params: 589,746
2026-03-30 16:23:10,799 | INFO | base_dl_model | [GRUModel] Epoch 1/30 train_loss=0.597936  val_loss=0.639288
2026-03-30 16:27:43,812 | INFO | base_dl_model | [GRUModel] Early stop at epoch 8. Best val_loss=0.629882
2026-03-30 16:27:43,822 | INFO | base_dl_model | [GRUModel] Training finished in 298.8s
2026-03-30 16:27:46,398 | INFO | base_dl_model | [GRUModel] predict() → min=0.0005  max=0.0006  mean=0.0005
2026-03-30 16:27:54,426 | INFO | base_dl_model | [GRUModel] Using device: cpu
2026-03-30 16:27:54,666 | INFO | base_dl_model | [GRUModel] Network params: 44,439
2026-03-30 16:28:22,541 | INFO | base_dl_model | [GRUModel] Epoch 1/30 train_loss=0.658347  val_loss=0.602439
2026-03-30 16:32:01,328 | INFO | base_dl_model | [GRUModel] Early stop at epoch 8. Best val_loss=0.594904
2026-03-30 16:32:01,328 | INFO | base_dl_model | [GRUModel] Training finished in 246.7s
2026-03-30 16:32:03,136 | INFO | base_dl_model | [GRUModel] predict() → min=0.0009  max=0.0011  mean=0.0009
2026-03-30 16:32:15,257 | INFO | base_dl_model | [GRUModel] Using device: cpu
2026-03-30 16:32:15,469 | INFO | base_dl_model | [GRUModel] Network params: 47,811
2026-03-30 16:32:39,636 | INFO | base_dl_model | [GRUModel] Epoch 1/30 train_loss=0.591656  val_loss=0.656593
2026-03-30 16:34:29,965 | INFO | base_dl_model | [GRUModel] Early stop at epoch 6. Best val_loss=0.656593
2026-03-30 16:34:29,974 | INFO | base_dl_model | [GRUModel] Training finished in 134.0s
2026-03-30 16:34:30,997 | INFO | base_dl_model | [GRUModel] predict() → min=0.0003  max=0.0003  mean=0.0003
2026-03-30 16:34:43,986 | INFO | base_dl_model | [GRUModel] Using device: cpu
2026-03-30 16:34:47,108 | INFO | base_dl_model | [GRUModel] Network params: 276,762
2026-03-30 16:35:05,428 | INFO | base_dl_model | [GRUModel] Epoch 1/30 train_loss=0.659170  val_loss=0.711599
2026-03-30 16:36:35,890 | INFO | base_dl_model | [GRUModel] Early stop at epoch 7. Best val_loss=0.651182
2026-03-30 16:36:35,891 | INFO | base_dl_model | [GRUModel] Training finished in 108.8s
2026-03-30 16:36:36,939 | INFO | base_dl_model | [GRUModel] predict() → min=0.0026  max=0.0032  mean=0.0028
2026-03-30 16:36:45,849 | INFO | base_dl_model | [GRUModel] Using device: cpu
2026-03-30 16:36:45,922 | INFO | base_dl_model | [GRUModel] Network params: 286,347
2026-03-30 16:37:01,240 | INFO | base_dl_model | [GRUModel] Epoch 1/50 train_loss=0.588403  val_loss=0.632345
