2026-03-16 13:26:18,669 | INFO | randomforest_regressor | [trial 5] Params: {'n_estimators': 461, 'max_depth': 5, 'min_samples_split': 14, 'min_samples_leaf': 9, 'max_features': 'log2', 'bootstrap': True, 'criterion': 'squared_error'}
2026-03-16 13:26:18,669 | INFO | randomforest_regressor | [trial 5] Fitting model on 21799 rows...
2026-03-16 13:27:12,137 | INFO | randomforest_regressor | [trial 5] Fit done. Running backtest chunks...
2026-03-16 13:27:17,854 | INFO | randomforest_regressor | [trial 5] Chunk 1/5 PnL: 4.1400
2026-03-16 13:27:24,792 | INFO | randomforest_regressor | [trial 5] Chunk 2/5 PnL: 28.0700
2026-03-16 13:27:31,125 | INFO | randomforest_regressor | [trial 5] Chunk 3/5 PnL: 158.6000
2026-03-16 13:27:37,580 | INFO | randomforest_regressor | [trial 5] Chunk 4/5 PnL: 178.7300
2026-03-16 13:27:44,800 | INFO | randomforest_regressor | [trial 5] Chunk 5/5 PnL: 206.4100
2026-03-16 13:27:45,251 | INFO | randomforest_regressor | [trial 6] Params: {'n_estimators': 224, 'max_depth': 12, 'min_samples_split': 20, 'min_samples_leaf': 5, 'max_features': None, 'bootstrap': False, 'criterion': 'absolute_error'}
2026-03-16 13:27:45,251 | INFO | randomforest_regressor | [trial 6] Fitting model on 21799 rows...
2026-03-16 13:37:05,531 | INFO | randomforest_regressor | [trial 2] Fit done. Running backtest chunks...
2026-03-16 13:37:10,172 | INFO | randomforest_regressor | [trial 2] Chunk 1/5 PnL: 44.5400
2026-03-16 13:37:14,929 | INFO | randomforest_regressor | [trial 2] Chunk 2/5 PnL: 52.5600
2026-03-16 13:37:18,573 | INFO | randomforest_regressor | [trial 2] Chunk 3/5 PnL: 78.7200
2026-03-16 13:37:22,541 | INFO | randomforest_regressor | [trial 2] Chunk 4/5 PnL: 60.7200
2026-03-16 13:37:26,091 | INFO | randomforest_regressor | [trial 2] Chunk 5/5 PnL: 67.8900
2026-03-16 13:37:26,327 | INFO | randomforest_regressor | [trial 7] Params: {'n_estimators': 164, 'max_depth': 9, 'min_samples_split': 13, 'min_samples_leaf': 4, 'max_features': 'log2', 'bootstrap': False, 'criterion': 'absolute_error'}
2026-03-16 13:37:26,327 | INFO | randomforest_regressor | [trial 7] Fitting model on 21799 rows...
