2026-01-23 12:15:45,097 | INFO | metatrader5_fetcher | ✔ Enabled symbol: DOTUSD
2026-01-23 12:15:45,097 | INFO | metatrader5_fetcher | ✔ Enabled symbol: EOSUSD
2026-01-23 12:15:45,098 | INFO | metatrader5_fetcher | ✔ Enabled symbol: ETHUSD
2026-01-23 12:15:45,098 | INFO | metatrader5_fetcher | ✔ Enabled symbol: LNKUSD
2026-01-23 12:15:45,098 | INFO | metatrader5_fetcher | ✔ Enabled symbol: LTCUSD
2026-01-23 12:15:45,099 | INFO | metatrader5_fetcher | ✔ Enabled symbol: MATICUSD
2026-01-23 12:15:45,099 | INFO | metatrader5_fetcher | ✔ Enabled symbol: NETH25
2026-01-23 12:15:45,099 | INFO | metatrader5_fetcher | ✔ Enabled symbol: SOLUSD
2026-01-23 12:15:45,099 | INFO | metatrader5_fetcher | ✔ Enabled symbol: XLMUSD
2026-01-23 12:15:54,925 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-23 12:09:00 to 2026-01-23 12:15:45.093548
2026-01-23 12:17:13,693 | INFO | metatrader5_fetcher | ✔ Enabled symbol: ADAUSD
2026-01-23 12:17:13,697 | INFO | metatrader5_fetcher | ✔ Enabled symbol: AVAXUSD
2026-01-23 12:17:13,697 | INFO | metatrader5_fetcher | ✔ Enabled symbol: BCHUSD
2026-01-23 12:17:13,698 | INFO | metatrader5_fetcher | ✔ Enabled symbol: BNBUSD
2026-01-23 12:17:13,698 | INFO | metatrader5_fetcher | ✔ Enabled symbol: BTCUSD
2026-01-23 12:17:13,698 | INFO | metatrader5_fetcher | ✔ Enabled symbol: DOGEUSD
2026-01-23 12:17:13,699 | INFO | metatrader5_fetcher | ✔ Enabled symbol: DOTUSD
2026-01-23 12:17:13,699 | INFO | metatrader5_fetcher | ✔ Enabled symbol: EOSUSD
2026-01-23 12:17:13,700 | INFO | metatrader5_fetcher | ✔ Enabled symbol: ETHUSD
2026-01-23 12:17:13,700 | INFO | metatrader5_fetcher | ✔ Enabled symbol: LNKUSD
2026-01-23 12:17:13,700 | INFO | metatrader5_fetcher | ✔ Enabled symbol: LTCUSD
2026-01-23 12:17:13,701 | INFO | metatrader5_fetcher | ✔ Enabled symbol: MATICUSD
2026-01-23 12:17:13,701 | INFO | metatrader5_fetcher | ✔ Enabled symbol: NETH25
