2026-02-24 09:43:04,752 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
2026-02-24 09:43:12,919 | INFO | model_trainer | Saved model xgboost_classifier for btc at saved_models\btc_xgboost_classifier.pkl
2026-02-24 09:46:18,060 | INFO | model_trainer | Saved model random_forest_regressor for btc at saved_models\btc_random_forest_regressor.pkl
2026-02-24 09:46:27,723 | INFO | model_trainer | Saved model xgboost_regressor for btc at saved_models\btc_xgboost_regressor.pkl
2026-02-24 11:28:17,361 | INFO | model_trainer | Best parameters found: {'n_estimators': 474, 'max_depth': 6, 'learning_rate': 0.295002847425057, 'subsample': 0.9986999428781456, 'colsample_bytree': 0.8704677855042334}
2026-02-24 11:28:23,524 | INFO | model_trainer | Saved model xgboost_classifier_20260224_112502 for btc at saved_models\btc_xgboost_classifier_20260224_112502.pkl
2026-02-24 11:32:01,423 | INFO | model_trainer | Best parameters found: {'n_estimators': 443, 'max_depth': 7, 'learning_rate': 0.025233320553995638, 'subsample': 0.8539536435856072, 'colsample_bytree': 0.8431242653910624}
2026-02-24 11:32:10,859 | INFO | model_trainer | Saved model xgboost_regressor_20260224_112502 for btc at saved_models\btc_xgboost_regressor_20260224_112502.pkl
2026-02-24 13:19:05,981 | INFO | model_trainer | Saved model random_forest_classifier_20260224_125903 for btc at saved_models\btc_random_forest_classifier_20260224_125903.pkl
2026-02-24 13:19:32,815 | INFO | model_trainer | Saved model xgboost_classifier_20260224_125903 for btc at saved_models\btc_xgboost_classifier_20260224_125903.pkl
2026-02-24 13:39:50,529 | INFO | model_trainer | Saved model random_forest_regressor_20260224_125903 for btc at saved_models\btc_random_forest_regressor_20260224_125903.pkl
2026-02-24 13:40:01,825 | INFO | model_trainer | Saved model xgboost_regressor_20260224_125903 for btc at saved_models\btc_xgboost_regressor_20260224_125903.pkl
