timestamp,entryprice,exitprice,tp/sl,direction,pnl
2024-08-25 21:00:00+00:00,64191.6,64833.515999999996,SL,sell,-641.9159999999974
2024-08-26 06:00:00+00:00,63923.0,63283.77,SL,buy,-639.2300000000032
2024-08-29 11:00:00+00:00,59593.6,60189.536,SL,sell,-595.9360000000015
2024-08-30 14:00:00+00:00,59595.9,58999.941,SL,buy,-595.9590000000026
2024-09-02 22:00:00+00:00,58999.7,59589.697,SL,sell,-589.997000000003
2024-09-03 13:00:00+00:00,59131.2,58539.888,SL,buy,-591.3119999999981
2024-09-04 16:00:00+00:00,58128.4,56384.548,TP,sell,1743.851999999999
2024-09-05 15:00:00+00:00,56425.9,55861.641,SL,buy,-564.2589999999982
2024-09-08 23:00:00+00:00,54480.0,55024.8,SL,sell,-544.8000000000029
2024-09-11 13:00:00+00:00,56791.3,56223.387,SL,buy,-567.9130000000005
2024-09-13 14:00:00+00:00,57944.3,58523.743,SL,sell,-579.4429999999993
2024-09-15 17:00:00+00:00,59936.0,59336.64,SL,buy,-599.3600000000006
2024-09-17 09:00:00+00:00,58754.5,59342.045,SL,sell,-587.5449999999983
2024-09-18 09:00:00+00:00,60149.9,59548.401,SL,buy,-601.4990000000034
2024-09-18 23:00:00+00:00,60664.3,61270.94300000001,SL,sell,-606.6430000000037
2024-09-22 06:00:00+00:00,62882.0,62770.6,,buy,-111.40000000000146
2024-09-22 22:00:00+00:00,62770.6,63398.306,SL,sell,-627.7059999999983
2024-09-24 00:00:00+00:00,63336.3,62702.937000000005,SL,buy,-633.3629999999976
2024-09-24 08:00:00+00:00,63522.6,64157.826,SL,sell,-635.2260000000024
2024-09-30 01:00:00+00:00,65428.3,64774.017,SL,buy,-654.2830000000031
2024-10-04 12:00:00+00:00,61429.9,62044.199,SL,sell,-614.2989999999991
2024-10-05 20:00:00+00:00,61820.4,62086.7,,buy,266.29999999999563
2024-10-06 12:00:00+00:00,62086.7,62707.566999999995,SL,sell,-620.8669999999984
2024-10-07 22:00:00+00:00,63300.0,62667.0,SL,buy,-633.0
2024-10-11 13:00:00+00:00,61363.5,61977.135,SL,sell,-613.635000000002
