timestamp,buyprice,tp/sl,direction,pnl
2024-10-06 15:00:00+00:00,62713.8,SL,buy,-627.137999999999
2024-10-08 04:00:00+00:00,62658.9,SL,buy,-626.5889999999999
2024-10-08 10:00:00+00:00,62531.4,SL,buy,-625.3139999999985
2024-10-08 21:00:00+00:00,62340.3,SL,buy,-623.4029999999984
2024-10-10 03:00:00+00:00,60838.9,SL,buy,-608.3890000000029
2024-10-10 22:00:00+00:00,60087.3,TP,buy,1802.6189999999988
2024-10-11 16:00:00+00:00,62336.6,TP,buy,1870.0979999999981
2024-10-14 10:00:00+00:00,64810.0,TP,buy,1944.300000000003
2024-10-15 17:00:00+00:00,66941.9,SL,buy,-669.4189999999944
2024-10-15 21:20:00+00:00,66186.5,TP,buy,1985.5950000000012
2024-10-16 21:00:00+00:00,67578.3,SL,buy,-675.7829999999958
2024-10-17 10:32:00+00:00,66890.7,TP,buy,2006.721000000005
2024-10-18 21:00:00+00:00,68378.5,SL,buy,-683.7850000000035
2024-10-21 14:00:00+00:00,67388.1,SL,buy,-673.880999999994
2024-10-22 06:00:00+00:00,67639.5,SL,buy,-676.3950000000041
2024-10-22 09:00:00+00:00,66973.0,SL,buy,-669.7299999999959
2024-10-23 09:09:00+00:00,66324.6,SL,buy,-663.2459999999992
2024-10-24 05:00:00+00:00,67388.0,SL,buy,-673.8800000000047
2024-10-25 23:00:00+00:00,66587.4,SL,buy,-665.8739999999962
2024-10-25 23:13:00+00:00,65835.1,TP,buy,1975.0529999999999
2024-10-28 04:00:00+00:00,67685.0,TP,buy,2030.550000000003
2024-10-28 20:00:00+00:00,69576.6,TP,buy,2087.297999999995
2024-10-29 17:00:00+00:00,72787.6,SL,buy,-727.8760000000038
2024-10-29 21:00:00+00:00,72312.1,SL,buy,-723.1209999999992
2024-10-30 22:00:00+00:00,72355.2,SL,buy,-723.551999999996
2024-10-31 22:00:00+00:00,70437.5,SL,buy,-704.375
2024-11-01 05:00:00+00:00,69601.1,SL,buy,-696.0109999999986
2024-11-01 20:00:00+00:00,69244.0,SL,buy,-692.4400000000023
2024-11-04 00:00:00+00:00,68700.1,SL,buy,-687.0010000000038
2024-11-05 01:00:00+00:00,67991.0,TP,buy,2039.729999999996
2024-11-06 01:00:00+00:00,71270.8,TP,buy,2138.123999999996
2024-11-06 04:00:00+00:00,74619.9,SL,buy,-746.1990000000078
2024-11-06 08:00:00+00:00,73582.1,SL,buy,-735.8209999999963
2024-11-06 08:04:00+00:00,73000.1,TP,buy,2190.002999999997
2024-11-06 23:00:00+00:00,75724.1,SL,buy,-757.2409999999945
2024-11-07 05:00:00+00:00,74821.4,TP,buy,2244.642000000007
2024-11-09 04:00:00+00:00,76376.8,TP,buy,2291.3040000000037
2024-11-10 13:00:00+00:00,79680.4,SL,buy,-796.8040000000037
2024-11-11 12:00:00+00:00,82150.1,TP,buy,2464.502999999997
2024-11-12 05:00:00+00:00,88575.3,SL,buy,-885.752999999997
2024-11-12 13:00:00+00:00,86319.8,SL,buy,-863.198000000004
2024-11-12 13:36:00+00:00,85472.3,TP,buy,2564.169000000009
2024-11-12 19:00:00+00:00,88694.7,SL,buy,-886.9470000000001
2024-11-13 00:00:00+00:00,87934.5,SL,buy,-879.3450000000012
2024-11-13 04:31:00+00:00,87076.6,SL,buy,-870.7660000000033
2024-11-13 06:34:00+00:00,86184.0,TP,buy,2585.520000000004
2024-11-13 17:00:00+00:00,92456.3,SL,buy,-924.5629999999946
2024-11-14 17:00:00+00:00,89056.7,SL,buy,-890.5669999999955
2024-11-15 12:00:00+00:00,89737.1,SL,buy,-897.3709999999992
2024-11-16 00:00:00+00:00,91200.5,SL,buy,-912.0050000000047
2024-11-17 15:00:00+00:00,90432.7,SL,buy,-904.3270000000048
2024-11-18 10:00:00+00:00,91930.0,SL,buy,-919.3000000000029
2024-11-18 22:00:00+00:00,91402.7,SL,buy,-914.0270000000019
2024-11-19 04:00:00+00:00,91522.1,TP,buy,2745.6630000000005
2024-11-20 21:00:00+00:00,94272.6,TP,buy,2828.178
2024-11-21 07:00:00+00:00,97048.0,SL,buy,-970.4799999999959
2024-11-21 23:00:00+00:00,98416.5,SL,buy,-984.1650000000081
2024-11-22 17:00:00+00:00,98875.2,SL,buy,-988.7520000000077
2024-11-23 23:00:00+00:00,97724.0,SL,buy,-977.2400000000052
2024-11-25 06:00:00+00:00,98202.8,SL,buy,-982.0280000000057
2024-11-25 16:00:00+00:00,96025.6,SL,buy,-960.255999999994
2024-11-26 03:00:00+00:00,94644.0,SL,buy,-946.4400000000023
2024-11-26 11:00:00+00:00,92432.1,SL,buy,-924.3209999999963
2024-11-26 11:46:00+00:00,91653.5,TP,buy,2749.604999999996
2024-11-27 00:00:00+00:00,92113.0,TP,buy,2763.3899999999994
2024-11-28 06:00:00+00:00,95521.2,TP,buy,2865.6359999999986
2024-11-29 15:07:00+00:00,98391.1,SL,buy,-983.9110000000073
2024-11-29 20:00:00+00:00,97353.0,SL,buy,-973.5299999999988
2024-11-30 19:00:00+00:00,96979.5,SL,buy,-969.7949999999983
2024-12-01 06:00:00+00:00,96421.7,SL,buy,-964.2170000000042
2024-12-02 22:00:00+00:00,95495.9,SL,buy,-954.9590000000026
2024-12-03 19:00:00+00:00,95339.0,TP,buy,2860.1699999999983
2024-12-05 09:00:00+00:00,102940.0,SL,buy,-1029.3999999999942
2024-12-05 20:00:00+00:00,99128.0,SL,buy,-991.2799999999988
2024-12-05 20:18:00+00:00,98133.7,SL,buy,-981.3369999999995
2024-12-06 03:00:00+00:00,97487.3,TP,buy,2924.619000000006
2024-12-06 19:00:00+00:00,101408.4,SL,buy,-1014.0840000000026
2024-12-07 07:00:00+00:00,99379.5,SL,buy,-993.7949999999983
2024-12-09 05:00:00+00:00,99504.1,SL,buy,-995.0409999999974
2024-12-09 16:00:00+00:00,97918.8,SL,buy,-979.1879999999946
2024-12-09 22:00:00+00:00,97183.7,SL,buy,-971.8369999999995
2024-12-09 22:21:00+00:00,96163.7,SL,buy,-961.6370000000024
2024-12-09 22:22:00+00:00,95536.4,SL,buy,-955.3640000000014
2024-12-10 22:00:00+00:00,96911.6,SL,buy,-969.1159999999945
2024-12-11 05:00:00+00:00,97536.3,TP,buy,2926.089000000007
2024-12-11 23:00:00+00:00,101315.5,SL,buy,-1013.1549999999988
2024-12-13 00:00:00+00:00,99932.3,TP,buy,2997.9689999999973
2024-12-15 17:00:00+00:00,103109.4,TP,buy,3093.2820000000065
2024-12-16 01:00:00+00:00,105582.9,SL,buy,-1055.828999999998
2024-12-16 03:00:00+00:00,104558.1,SL,buy,-1045.5810000000056
2024-12-16 18:00:00+00:00,107027.6,SL,buy,-1070.275999999998
2024-12-17 19:00:00+00:00,106677.0,SL,buy,-1066.770000000004
2024-12-18 00:00:00+00:00,106104.6,SL,buy,-1061.046000000002
2024-12-18 02:00:00+00:00,105077.7,SL,buy,-1050.7770000000019
2024-12-19 06:00:00+00:00,101275.4,SL,buy,-1012.7540000000008
2024-12-19 16:00:00+00:00,100568.1,SL,buy,-1005.6809999999969
2024-12-19 18:00:00+00:00,98693.3,SL,buy,-986.9330000000045
2024-12-19 18:13:00+00:00,97712.0,SL,buy,-977.1199999999953
2024-12-20 19:00:00+00:00,96898.4,SL,buy,-968.9839999999967
2024-12-21 02:00:00+00:00,97287.3,SL,buy,-972.8730000000069
2024-12-22 13:00:00+00:00,96981.1,SL,buy,-969.8110000000015
2024-12-22 15:00:00+00:00,95382.5,SL,buy,-953.8249999999971
2024-12-23 01:00:00+00:00,94343.1,SL,buy,-943.4309999999969
2024-12-24 04:00:00+00:00,94257.3,TP,buy,2827.7189999999973
2024-12-24 23:00:00+00:00,98753.9,SL,buy,-987.5390000000043
2024-12-25 05:00:00+00:00,98192.6,SL,buy,-981.9260000000068
2024-12-26 10:00:00+00:00,95405.8,SL,buy,-954.0580000000045
2024-12-27 21:00:00+00:00,94596.9,SL,buy,-945.9689999999973
2024-12-29 17:00:00+00:00,93770.0,SL,buy,-937.6999999999971
2024-12-30 16:00:00+00:00,91992.4,TP,buy,2759.771999999997
2024-12-30 20:13:00+00:00,94676.1,SL,buy,-946.7609999999986
2024-12-30 23:00:00+00:00,92669.6,TP,buy,2780.0880000000034
2024-12-31 23:00:00+00:00,93403.2,TP,buy,2802.096000000005
2025-01-02 10:00:00+00:00,96639.1,TP,buy,2899.17300000001
2025-01-06 09:00:00+00:00,99039.6,TP,buy,2971.188000000009
2025-01-06 16:00:00+00:00,102080.1,SL,buy,-1020.8010000000068
2025-01-07 20:00:00+00:00,96335.6,SL,buy,-963.3559999999998
2025-01-08 19:00:00+00:00,94280.1,SL,buy,-942.8010000000068
2025-01-09 10:00:00+00:00,93487.2,SL,buy,-934.872000000003
2025-01-09 16:00:00+00:00,94221.9,SL,buy,-942.2189999999973
